"Action","Animation","ScienceFiction","Horror","Fantasy","Family","Adventure","Comedy","Crime","Romance","Drama","Thriller","War","Western","Mystery","Music","Documentary","History","TVMovie","title","year","rating","budget","revenue","runtime"
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Spider-Man: No Way Home",2021,81,2e+08,1.892e+09,148
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Doctor Strange",2016,74,1.65e+08,677700000,115
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Encanto",2021,77,5e+07,2.53e+08,102
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Top Gun",1986,70,1.5e+07,356830601,110
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Seven Deadly Sins: Cursed by Light",2021,79,0,0,79
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",2020,84,15800000,503063688,117
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Venom: Let There Be Carnage",2021,70,1.1e+08,5e+08,97
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Eternals",2021,71,2e+08,402027582,156
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Shang-Chi and the Legend of the Ten Rings",2021,77,1.5e+08,432243292,132
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Sing 2",2021,81,8.5e+07,4.06e+08,110
1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,"The King's Man",2021,69,1e+08,125928656,131
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Resident Evil: Welcome to Raccoon City",2021,61,4e+07,38600612,107
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Last Man Down",2021,63,0,0,87
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Ghostbusters: Afterlife",2021,77,7.5e+07,1.91e+08,124
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"The Boss Baby: Family Business",2021,76,8.2e+07,146745280,107
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantastic Beasts and Where to Find Them",2016,74,1.8e+08,809342332,132
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The Matrix Resurrections",2021,67,1.9e+08,156497322,148
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Avatar",2009,75,2.37e+08,2847246203,162
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Mortal Kombat",2021,72,2e+07,83601013,110
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Red Notice",2021,68,1.6e+08,178143,118
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Clifford the Big Red Dog",2021,73,6.4e+07,6.7e+07,97
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Avengers: Infinity War",2018,83,3e+08,2046239637,149
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantastic Beasts: The Crimes of Grindelwald",2018,69,2e+08,653355901,134
