"","x"
"1","The Platform       (2019)+70.0+Drama, Science Fiction, Thriller+OriginalTitleElhoyoStatusReleasedOriginalLanguageSpanish;CastilianBudget-Revenue-+1h 35m"
"2","Where the Wild Things Are       (2009)+65.0+Family, Fantasy, Science Fiction, Drama+StatusReleasedOriginalLanguageEnglishBudget$100,000,000.00Revenue$100,140,916.00+1h 41m"
"3","Man on a Ledge       (2012)+64.0+Action, Thriller, Crime+StatusReleasedOriginalLanguageEnglishBudget$42,000,000.00Revenue$46,221,189.00+1h 42m"
"4","Into the Storm       (2014)+60.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$160,602,194.00+1h 29m"
"5","Percy Jackson: Sea of Monsters       (2013)+60.0+Adventure, Family, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$90,000,000.00Revenue$199,850,315.00+1h 46m"
"6","Me, Myself & Irene       (2000)+66.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$51,000,000.00Revenue$149,270,999.00+1h 56m"
"7","1917       (2019)+80.0+War, Drama, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$100,000,000.00Revenue$374,733,942.00+1h 59m"
"8","The Bourne Legacy       (2012)+62.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$130,000,000.00Revenue$276,572,938.00+2h 15m"
"9","The Transporter       (2002)+67.0+Action, Crime, Thriller+StatusReleasedOriginalLanguageEnglishBudget$21,000,000.00Revenue$43,928,932.00+1h 32m"
"10","Good Boys       (2019)+69.0+Comedy+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$111,037,232.00+1h 29m"
"11","Home       (2015)+68.0+Fantasy, Comedy, Animation, Science Fiction, Family+StatusReleasedOriginalLanguageEnglishBudget$135,000,000.00Revenue$368,871,007.00+1h 34m"
"12","The Addams Family       (1991)+70.0+Comedy, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$30,000,000.00Revenue$191,502,426.00+1h 42m"
"13","Poltergeist       (2015)+52.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$95,437,994.00+1h 33m"
"14","Planet of the Apes       (2001)+57.0+Thriller, Science Fiction, Action, Adventure+StatusReleasedOriginalLanguageEnglishBudget$100,000,000.00Revenue$362,211,740.00+1h 59m"
"15","Seeking Justice       (2011)+59.0+Action, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$17,000,000.00Revenue$14,089,528.00+1h 45m"
"16","28 Weeks Later       (2007)+66.0+Horror, Thriller, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$65,048,678.00+1h 40m"
"17","2 Guns       (2013)+65.0+Action, Comedy, Crime+StatusReleasedOriginalLanguageEnglishBudget$61,000,000.00Revenue$131,940,411.00+1h 49m"
"18","Hitman       (2007)+61.0+Action, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget$24,000,000.00Revenue$99,965,753.00+1h 29m"
